Investor Name,Email
Abu Dhabi Investment Authority,contact@adia.ae
Mubadala Investment Company,info@mubadala.com
Saudi Public Investment Fund,Info@pif.gov.sa
Qatar Investment Authority,media@qia.qa
Kuwait Investment Authority,information@kia.gov.kw
Global Infrastructure Partners,contact@global-infra.com
DigitalBridge,ir@digitalbridge.com
Blackstone Infrastructure,infrastructure@blackstone.com
KKR Infrastructure,middleeast@kkr.com
Brookfield Infrastructure,info@brookfield.com
Investcorp,info@investcorp.com
Partners Group,info@partnersgroup.com
MGX Abu Dhabi,compliance@mgx.ae
Sanabil,contact@sanabilvc.com
AMINA Bank,info@aminagroup.com
Rain Financial,support-ae@rain.com
CoinMENA,support@coinmena.com
BitOasis,help@bitoasis.net
Gulf Capital,info@gulfcapital.ae
Fajr Capital,contact@fajrcapital.ae
Lunate,contact@lunate.ae
Klumi Ventures,contact@klumi.ae
Cypher Capital,contact@cyphercapital.io
Morningstar Ventures,contact@mstarventures.com
CV VC,contact@cv-vc.com
Ghaf Capital Partners,contact@ghafcapital.ae
MEVP,contact@mevp.vc
DataVolt,contact@datavolt.sa
Dubai Multi Commodities Centre,info@dmcc.ae
Abu Dhabi Global Market,connect@adgm.ae
Waha Capital,info@wahacapital.com
Shuaa Capital,info@shuaa.com
ADNOC (XRG Division),contact@adnoc.ae
Saudi Aramco,investor-relations@aramco.com
Emirates National Oil Company,info@enoc.ae
Emaar Properties,investor@emaar.ae
