ID,Name,Shorthand,Email,Type,Location,AUM,Priority,Category,Notes
1,Abu Dhabi Investment Authority,ADIA,contact@adia.ae,Sovereign Wealth Fund,"Abu Dhabi, UAE",$1.1T,High,Sovereign Wealth Fund,World's largest SWF; increasing BTC ETF exposure
2,Mubadala Investment Company,Mubadala,info@mubadala.com,Sovereign Wealth Fund,"Abu Dhabi, UAE",$330B,High,Sovereign Wealth Fund,Most active SWF globally; ADIC unit tripled BTC ETF position 2025
3,ADQ — Abu Dhabi Developmental Holding,ADQ,ir@adq.ae,Sovereign Wealth Fund,"Abu Dhabi, UAE",$150B+,High,Sovereign Wealth Fund,Infrastructure-focused SWF; white paper on $100T global infra gap
4,MGX Abu Dhabi,MGX,info@mgx.ae,Sovereign Digital Infra Fund,"Abu Dhabi, UAE",$20B+,Very High,Sovereign Wealth Fund,Mubadala+G42 JV; $2B Binance investment; AI & Bitcoin infra mandate
5,Saudi Public Investment Fund,PIF,info@pif.gov.sa,Sovereign Wealth Fund,"Riyadh, Saudi Arabia",$1T+,High,Sovereign Wealth Fund,Largest GCC SWF; digital infra mandate via Sanabil arm
6,Qatar Investment Authority,QIA,media@qia.qa,Sovereign Wealth Fund,"Doha, Qatar",$450B+,High,Sovereign Wealth Fund,Qatar SWF; diversified mandate; increasing digital exposure
7,Kuwait Investment Authority,KIA,information@kia.gov.kw,Sovereign Wealth Fund,"Kuwait City, Kuwait",$750B+,Medium,Sovereign Wealth Fund,Conservative GCC SWF; long-term capital
8,Oman Investment Authority,OIA,info@oia.gov.om,Sovereign Wealth Fund,"Muscat, Oman",$40B+,High,Sovereign Wealth Fund,Invested in Crusoe Energy for BTC mining; Mubadala co-investor
9,Sanabil Investments,Sanabil,contact@sanabilvc.com,Sovereign VC,Saudi Arabia,$10B+,High,Sovereign Wealth Fund,PIF-backed VC arm; active crypto and digital asset mandate
10,L'IMAD Holdings,L'IMAD,info@limad.ae,Sovereign Wealth Fund,"Abu Dhabi, UAE",$50B+,Medium,Sovereign Wealth Fund,Abu Dhabi-based SWF
11,Emirates Investment Authority,EIA,info@eia.gov.ae,Sovereign Wealth Fund,"Abu Dhabi, UAE",$45B+,Medium,Sovereign Wealth Fund,UAE federal SWF; infra and energy mandate
12,Global Infrastructure Partners,GIP,contact@global-infra.com,Infrastructure Fund,Global,$100B+,High,Infrastructure / PE,Largest infra PE fund globally
13,DigitalBridge,DigitalBridge,ir@digitalbridge.com,Digital Infrastructure Fund,Boca Raton / Global,$85B+,High,Infrastructure / PE,"Specialist digital infra PE; data centres, towers, fibre"
14,Blackstone Infrastructure,Blackstone,infrastructure@blackstone.com,Infrastructure Fund,New York / Global,$150B+,High,Infrastructure / PE,World's largest alt asset manager; infra arm growing fast
15,KKR Infrastructure,KKR,middleeast@kkr.com,Infrastructure Fund,Global / Dubai office,$90B+,High,Infrastructure / PE,Active ME office; digital and energy infra mandate
16,Brookfield Infrastructure,Brookfield,info@brookfield.com,Infrastructure Fund,Toronto / Global,$200B+,High,Infrastructure / PE,One of largest infra platforms globally; data centre expansion
17,Partners Group,Partners Group,info@partnersgroup.com,Infrastructure Fund,"Baar, Switzerland",$130B+,Medium,Infrastructure / PE,Swiss-based global infra and private markets PE
18,Investcorp,Investcorp,ir@investcorp.com,Alternative Asset Manager,Bahrain / Abu Dhabi,$50B+,High,Infrastructure / PE,GCC alt asset manager; strong FO network; right ticket size for this deal
19,Fajr Capital,Fajr Capital,contact@fajrcapital.ae,Sovereign-Backed PE,"Dubai, UAE",$50B+,Very High,Infrastructure / PE,GCC sovereign-backed PE; direct infra mandate
20,Lunate,Lunate,contact@lunate.ae,PE / Multi-Strategy,"Abu Dhabi, UAE",$50B+,Very High,Infrastructure / PE,UAE multi-strategy PE; strong infra appetite
21,Gulf Capital,Gulf Capital,info@gulfcapital.ae,Private Equity,"Abu Dhabi, UAE",$5B+,Medium,Infrastructure / PE,UAE-based PE; tech and infra focus
22,Waha Capital,Waha Capital,info@wahacapital.com,PE / Investment Co.,"Abu Dhabi, UAE",$5B+,Medium,Infrastructure / PE,Abu Dhabi PE; energy and tech exposure
23,Shuaa Capital,Shuaa Capital,info@shuaa.com,PE / Asset Mgmt,"Dubai, UAE",$3B+,Medium,Infrastructure / PE,Dubai PE/asset manager; digital expansion
24,Arcapita,Arcapita,info@arcapita.com,Sharia-Compliant PE,Bahrain / Atlanta,$4B+,Medium,Infrastructure / PE,Sharia-compliant PE; GCC infra and technology
25,GFH Capital,GFH Capital,info@gfh.com,PE / Investment Bank,Bahrain,$15B+,Medium,Infrastructure / PE,Gulf Finance House PE arm; infra and real assets
26,EFG Hermes / EFG Holding,EFG Hermes,ir@efgholding.com,Investment Bank / PE,Cairo / Dubai,$5B+ managed,Medium,Infrastructure / PE,Pan-Arab IB with PE arm; MENA infra focus
27,DataVolt,DataVolt,contact@datavolt.sa,Digital Infrastructure Developer,Saudi Arabia,$5B deployed,High,Infrastructure / PE,KSA digital infra developer; HPC and data centre mandate
28,Actis,Actis,info@act.is,Emerging Markets PE,London / Global,$12B+,Medium,Infrastructure / PE,EM-focused energy & infra PE; strong MENA pipeline
29,Pantera Capital,Pantera,info@panteracapital.com,Crypto Hedge Fund / VC,"Menlo Park, CA",$5B+,High,Crypto-Native Fund,Longest-running crypto fund; BTC infra conviction; $10M+ check size
30,Dragonfly Capital,Dragonfly,contact@dragonfly.xyz,Crypto VC,San Francisco / Singapore,$650M+ (latest fund),High,Crypto-Native Fund,Asia + ME roots; crypto infra focus; Haseeb Qureshi & Bo Feng
31,Galaxy Digital / Galaxy Ventures,Galaxy,invest@galaxyventures.com,Crypto Asset Mgmt / VC,"New York, NY",$10B+ platform,Medium,Crypto-Native Fund,$175M venture fund; digital infra; pivoting to AI/HPC
32,a16z Crypto (Andreessen Horowitz),a16z Crypto,crypto@a16z.com,Crypto VC,"Menlo Park, CA",$7.6B+ crypto,High,Crypto-Native Fund,Largest crypto VC fund; deep Bitcoin infrastructure research
33,Paradigm,Paradigm,contact@paradigm.xyz,Crypto VC / Research Fund,"San Francisco, CA",$8.5B+ raised,High,Crypto-Native Fund,Research-driven crypto VC; Fred Ehrsam + Matt Huang; seed to growth
34,Polychain Capital,Polychain,contact@polychain.capital,Crypto VC / Hedge Fund,"San Francisco, CA",$400M+ (Fund IV),High,Crypto-Native Fund,Founded by Olaf Carlson-Wee; protocols and infrastructure focus
