Investor Name,Email
Abu Dhabi Investment Authority (ADIA),contact@adia.ae
Mubadala Investment Company,info@mubadala.com
Saudi Public Investment Fund (PIF),Info@pif.gov.sa
Kuwait Investment Authority (KIA),information@kia.gov.kw
Qatar Investment Authority (QIA),media@qia.qa
L'IMAD Holdings,contact@mediaoffice.abudhabi
DigitalBridge,ir@digitalbridge.com
Global Infrastructure Partners (GIP),contact@global-infra.com
Blackstone Infrastructure,investor-relations@bxsl.com
Brookfield Infrastructure,investor-relations@bip.brookfield.com
KKR Infrastructure,Investor-Relations@kkr.com
Investcorp,info@investcorp.com
Energy Capital Partners (ECP),info@ecpgp.com
Gulf Infrastructure Fund,contact@gulfinfrastructurefund.com
MGX Abu Dhabi,compliance@mgx.ae
Sanabil (Saudi PIF),investment@sanabil.com
AMINA Bank,contact@amina.ae
Rain Financial,support-ae@rain.com
CoinMENA,support@coinmena.com
BitOasis,help@bitoasis.net
Waha Capital,info@wahacapital.com
Gulf Capital,info@gulfcapital.com
Shuaa Capital,info@shuaa.com
ADNOC XRG,contact@xrg.com
Saudi Aramco Ventures,hotline@aramcoventures.com
ENOC Dubai,first.last@enoc.com
Saudi Aramco,investor.relations@aramco.com
Microsoft/BlackRock AI Infrastructure,contact@microsoft.com
